Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,02,2025.1,HENRIQUE MARRA TAIRA MENEGAZ (30h),5M12,16,16,0,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,03,2025.1,HENRIQUE MARRA TAIRA MENEGAZ (30h),5M34,16,16,0,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,04,2025.1,HENRIQUE MARRA TAIRA MENEGAZ (30h),5T45,16,16,0,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,05,2025.1,A DEFINIR DOCENTE,3M12,16,17,-1,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,06,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),4M12,16,16,0,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,07,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),4M34,16,14,2,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,08,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),4T23,16,12,4,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,09,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),4T45,16,14,2,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,10,2025.1,A DEFINIR DOCENTE,3M34,16,13,3,FCTE - LAB NEI 2
PRÁTICA DE ELETRÔNICA DIGITAL 2,FGA0072,01,2025.1,GILMAR SILVA BESERRA (30h),4M34,35,10,25,FCTE - LAB SS
PRÁTICA DE ELETRÔNICA DIGITAL 2,FGA0072,02,2025.1,GILMAR SILVA BESERRA (30h),2M34,35,9,26,FCTE - LAB SS
TEORIA DE ELETRÔNICA DIGITAL 1,FGA0073,01,2025.1,RENATO VILELA LOPES (60h),46M12,80,82,-2,FCTE - S1
TEORIA DE ELETRÔNICA DIGITAL 1,FGA0073,02,2025.1,RENATO VILELA LOPES (60h),46T23,80,80,0,FCTE - S2
